id,studio_id,instructor_id,source,source_id,title,style,difficulty,pacing,duration_min,price,description,target_outcomes,contraindications,schedule,crawled_at,search_vec
1,,,taling,08da0ffc64a58174,마음챙김 명상요가 - 마음 가는 대로 요가,yin,,,,,,,,"{""city"": ""서울"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-03T07:45:06.118446+00:00,'yin':7 '가는':4 '대로':5 '마음':3 '마음챙김':1 '명상요가':2 '요가':6
2,,,taling,d95f7494d00c43f0,무너진 체형 8주 만에 리셋! <체형 교정 솔루션 요가>,yoga,,,,,,,,"{""city"": ""서울"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-03T07:45:06.130898+00:00,"'8주':3 'yoga':10 '교정':7 '리셋':5 '만에':4 '무너진':1 '솔루션':8 '요가':9 '체형':2,6"
3,,,taling,45170c7c0e00909f,성형 없이 얼굴 골격 재창조!<br><셀프 경락 + 페이스 요가>,yoga,,,,,,,,"{""city"": ""서울"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-21T23:48:44.257870+00:00,'yoga':10 '경락':7 '골격':4 '성형':1 '셀프':6 '얼굴':3 '없이':2 '요가':9 '재창조':5 '페이스':8
4,,,taling,fed65f2d87c33626,아메리카요가 목동점,yoga,,,,,,,,"{""city"": ""서울"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-03T07:45:06.131063+00:00,'yoga':3 '목동점':2 '아메리카요가':1
5,,,taling,cba3fd6908ccf024,아메리카요가 건대점,yoga,,,,,,,,"{""city"": ""서울"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-03T07:45:06.131084+00:00,'yoga':3 '건대점':2 '아메리카요가':1
6,,,taling,d3be82b86d643a9f,아메리카요가 발산점,yoga,,,,,,,,"{""city"": ""서울"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-03T07:45:06.131095+00:00,'yoga':3 '발산점':2 '아메리카요가':1
7,,,taling,102d4e6181600a2c,아메리카요가 청량리점,yoga,,,,,,,,"{""city"": ""서울"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-03T07:45:06.131106+00:00,'yoga':3 '아메리카요가':1 '청량리점':2
8,,,taling,0ef797ea15167b44,아메리카요가 여의도점,yoga,,,,,,,,"{""city"": ""서울"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-31T07:44:11.590539+00:00,'yoga':3 '아메리카요가':1 '여의도점':2
17,,,taling,c9ac0d2ef42726fc,마음챙김 명상요가 - 마음 가는 대로 요가,yin,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-03T07:45:55.018170+00:00,'yin':7 '가는':4 '대로':5 '마음':3 '마음챙김':1 '명상요가':2 '요가':6
18,,,taling,0bcdd596919ac5e5,무너진 체형 8주 만에 리셋! <체형 교정 솔루션 요가>,yoga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-03T07:45:55.024943+00:00,"'8주':3 'yoga':10 '교정':7 '리셋':5 '만에':4 '무너진':1 '솔루션':8 '요가':9 '체형':2,6"
19,,,taling,ce162af25947d090,성형 없이 얼굴 골격 재창조!<br><셀프 경락 + 페이스 요가>,yoga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-21T23:49:12.861188+00:00,'yoga':10 '경락':7 '골격':4 '성형':1 '셀프':6 '얼굴':3 '없이':2 '요가':9 '재창조':5 '페이스':8
20,,,taling,f604c37e0b96cea9,아메리카요가 발산점,yoga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-03T07:45:55.025138+00:00,'yoga':3 '발산점':2 '아메리카요가':1
21,,,taling,cffedd43efd76aea,아메리카요가 건대점,yoga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-03T07:45:55.025161+00:00,'yoga':3 '건대점':2 '아메리카요가':1
